Microsoft (R) COFF/PE Dumper Version 9.00.21022.08
Copyright (C) Microsoft Corporation.  All rights reserved.
        737  2E0 00064AE8 ??_FCCCheckBox@DirectUI@@QEAAXXZ
        738  2E1 0006498C ??_FCCCommandLink@DirectUI@@QEAAXXZ
        739  2E2 00064824 ??_FCCPushButton@DirectUI@@QEAAXXZ
        740  2E3 00064E20 ??_FCCTreeView@DirectUI@@QEAAXXZ
        741  2E4 0002F770 ?AbsorbsShortcutProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        742  2E5 0002B554 ?AccDefActionProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        743  2E6 0001B424 ?AccDescProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        744  2E7 00004A24 ?AccHelpProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        745  2E8 0005E820 ?AccItemStatusProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        746  2E9 0005E810 ?AccItemTypeProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        747  2EA 000053CC ?AccNameProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        748  2EB 0005BD84 ?AccNavigate@DuiAccessible@DirectUI@@SAJPEAVElement@2@JPEAPEAV32@@Z
        749  2EC 0000AFE0 ?AccRoleProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        750  2ED 0000476C ?AccStateProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        751  2EE 000048B8 ?AccValueProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        752  2EF 000DCCC4 ?AcceleratorKeyProperty@Schema@DirectUI@@2HA
        753  2F0 0003BBA0 ?Access@?$SafeArrayAccessor@H@DirectUI@@QEAAJPEAUtagSAFEARRAY@@G@Z
        754  2F1 000DCBF4 ?AccessKeyProperty@Schema@DirectUI@@2HA
        755  2F2 00014410 ?AccessibleProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        756  2F3 0006C224 ?ActionInitiated@Navigator@DirectUI@@SA?AVUID@@XZ
        757  2F4 00031624 ?ActivateTooltip@Element@DirectUI@@MEAAXPEAV12@K@Z
        758  2F5 00031080 ?ActivateTooltip@HWNDElement@DirectUI@@UEAAXPEAVElement@2@K@Z
        759  2F6 00009528 ?ActiveProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        760  2F7 00063310 ?ActualReferencePointProp@RefPointElement@DirectUI@@SAPEBUPropertyInfo@2@XZ
        761  2F8 0001DE3C ?Add@BaseScrollViewer@DirectUI@@UEAAJPEAPEAVElement@2@I@Z
        762  2F9 000194AC ?Add@Element@DirectUI@@QEAAJPEAV12@@Z
        763  2FA 0005DCBC ?Add@Element@DirectUI@@QEAAJPEAV12@P6AHPEBX1@Z@Z
        764  2FB 00009A2C ?Add@Element@DirectUI@@UEAAJPEAPEAV12@I@Z
        765  2FC 0003A628 ?Add@ElementProviderManager@DirectUI@@SAJPEAVElementProvider@2@@Z
        766  2FD 00042CD4 ?Add@Expando@DirectUI@@UEAAJPEAPEAVElement@2@I@Z
        767  2FE 00057FCC ?Add@LinkedList@DirectUI@@QEAAXPEAVLinkedListNode@2@@Z
        768  2FF 000377E0 ?Add@Macro@DirectUI@@UEAAJPEAPEAVElement@2@I@Z
        769  300 0006C084 ?Add@Pages@DirectUI@@UEAAJPEAPEAVElement@2@I@Z
        770  301 0005E9F0 ?AddChild@ClassInfoBase@DirectUI@@UEAAXXZ
        771  302 00032F88 ?AddChildren@ScrollViewer@DirectUI@@MEAAJXZ
        772  303 00028AF0 ?AddChildren@StyledScrollViewer@DirectUI@@MEAAJXZ
        773  304 00017F58 ?AddListener@Element@DirectUI@@QEAAJPEAUIElementListener@2@@Z
        774  305 00070C10 ?AddRectangleChange@EventManager@DirectUI@@CAJPEAVElement@2@_N1@Z
        775  306 00018180 ?AddRef@ClassInfoBase@DirectUI@@UEAAXXZ
        776  307 0002FF00 ?AddRef@DuiAccessible@DirectUI@@UEAAKXZ
        777  308 00033470 ?AddRef@Element@DirectUI@@QEAAKXZ
        778  309 0001E294 ?AddRef@ElementProvider@DirectUI@@UEAAKXZ
        779  30A 0006E9D0 ?AddRef@ExpandCollapseProvider@DirectUI@@UEAAKXZ
        780  30B 0006E9D0 ?AddRef@GridItemProvider@DirectUI@@UEAAKXZ
        781  30C 0006E9D0 ?AddRef@GridProvider@DirectUI@@UEAAKXZ
        782  30D 0001E294 ?AddRef@HWNDElementProvider@DirectUI@@UEAAKXZ
        783  30E 0006E9D0 ?AddRef@InvokeProvider@DirectUI@@UEAAKXZ
        784  30F 0006E9D0 ?AddRef@RangeValueProvider@DirectUI@@UEAAKXZ
        785  310 00072EC0 ?AddRef@RefcountBase@DirectUI@@QEAAJXZ
        786  311 0006E9D0 ?AddRef@ScrollItemProvider@DirectUI@@UEAAKXZ
        787  312 0006E9D0 ?AddRef@ScrollProvider@DirectUI@@UEAAKXZ
        788  313 0006E9D0 ?AddRef@SelectionItemProvider@DirectUI@@UEAAKXZ
        789  314 0006E9D0 ?AddRef@SelectionProvider@DirectUI@@UEAAKXZ
        790  315 0006E9D0 ?AddRef@TableItemProvider@DirectUI@@UEAAKXZ
        791  316 0006E9D0 ?AddRef@TableProvider@DirectUI@@UEAAKXZ
        792  317 0006E9D0 ?AddRef@ToggleProvider@DirectUI@@UEAAKXZ
        793  318 0002DE60 ?AddRef@Value@DirectUI@@QEAAXXZ
        794  319 0006E9D0 ?AddRef@ValueProvider@DirectUI@@UEAAKXZ
        795  31A 00035E40 ?AddRef@XProvider@DirectUI@@UEAAKXZ
        796  31B 0000F8E0 ?AddRulesToStyleSheet@DUIXmlParser@DirectUI@@IEAAJPEAUIXmlReader@@PEAVStyleSheet@2@PEBGPEAV?$DynamicArray@UXMLParserCond@DirectUI@@$0A@@2@PEAV?$DynamicArray@PEAG$0A@@2@@Z
        797  31C 00064E78 ?AddString@CCListBox@DirectUI@@QEAAHPEBG@Z
        798  31D 00038E88 ?AddString@Combobox@DirectUI@@QEAAHPEBG@Z
        799  31E 00074A60 ?AddToSelection@NavigatorSelectionItemProxy@DirectUI@@AEAAJPEAVBrowser@2@@Z
        800  31F 000745F4 ?AddToSelection@SelectionItemProvider@DirectUI@@UEAAJXZ
        801  320 00074880 ?AddToSelection@SelectorSelectionItemProxy@DirectUI@@AEAAJXZ
        802  321 0006727C ?AdvanceFrame@AnimationStrip@DirectUI@@IEAAXXZ
        803  322 00083620 ?AdvanceFrame@Movie@DirectUI@@SA?AVUID@@XZ
        804  323 0003B990 ?AdviseEventAdded@ElementProvider@DirectUI@@UEAAJHPEAUtagSAFEARRAY@@@Z
        805  324 0003B9EC ?AdviseEventAdded@EventManager@DirectUI@@SAJHPEAUtagSAFEARRAY@@@Z
        806  325 0006DFD4 ?AdviseEventRemoved@ElementProvider@DirectUI@@UEAAJHPEAUtagSAFEARRAY@@@Z
        807  326 00070084 ?AdviseEventRemoved@EventManager@DirectUI@@SAJHPEAUtagSAFEARRAY@@@Z
        808  327 00033CD8 ?AlphaProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        809  328 0002E004 ?AnimationChange@Element@DirectUI@@SA?AVUID@@XZ
        810  329 000356C8 ?AnimationProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        811  32A 000158A8 ?ApplySinkRegion@HWNDHost@DirectUI@@AEAAXPEBUtagRECT@@_N@Z
        812  32B 000665D0 ?Arrow@Expando@DirectUI@@KAGXZ
        813  32C 000025F0 ?AssertPIZeroRef@ClassInfoBase@DirectUI@@UEBAXXZ
        814  32D 000DCC50 ?AsyncContentLoadedEvent@Schema@DirectUI@@2HA
        815  32E 00020A24 ?AsyncDestroyMsg@NativeHWNDHost@DirectUI@@SAIXZ
        816  32F 0000B240 ?Attach@Layout@DirectUI@@UEAAXPEAVElement@2@@Z
        817  330 0001A780 ?AttachCtrlSubclassProc@HWNDHost@DirectUI@@KAXPEAUHWND__@@@Z
        818  331 0006AB30 ?AutoGroupingProp@CCRadioButton@DirectUI@@SAPEBUPropertyInfo@2@XZ
        819  332 00083644 ?AutoStartProp@Movie@DirectUI@@SAPEBUPropertyInfo@2@XZ
        820  333 00083654 ?AutoStopProp@Movie@DirectUI@@SAPEBUPropertyInfo@2@XZ
        821  334 000DCCFC ?AutomationFocusChangedEvent@Schema@DirectUI@@2HA
        822  335 000DCD70 ?AutomationIdProperty@Schema@DirectUI@@2HA
        823  336 000DCCA4 ?AutomationPropertyChangedEvent@Schema@DirectUI@@2HA
        824  337 00028060 ?BackgroundOwnerIDProp@HWNDHost@DirectUI@@SAPEBUPropertyInfo@2@XZ
        825  338 00001FC4 ?BackgroundProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        826  339 00009D4C ?BorderColorProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        827  33A 0005E800 ?BorderStyleProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        828  33B 0005E7F0 ?BorderThicknessProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        829  33C 000DCC98 ?BoundingRectangleProperty@Schema@DirectUI@@2HA
        830  33D 0002DD40 ?BroadcastEvent@Element@DirectUI@@QEAAXPEAUEvent@2@@Z
        831  33E 0001ADE4 ?BuildCacheInfo@FlowLayout@DirectUI@@IEAA?AUtagSIZE@@PEAVElement@2@HHPEAVSurface@2@_N@Z
        832  33F 0001BF80 ?BuildCacheInfo@VerticalFlowLayout@DirectUI@@IEAA?AUtagSIZE@@PEAVElement@2@HHPEAVSurface@2@_N@Z
        833  340 0001D670 ?BuildElement@Macro@DirectUI@@MEAAJXZ
        834  341 0006A580 ?BuildElement@Repeater@DirectUI@@MEAAJXZ
        835  342 0006B7B0 ?ButtonClassAcceptsEnterKeyProp@DialogElement@DirectUI@@SAPEBUPropertyInfo@2@XZ
        836  343 000DCBEC ?ButtonControlType@Schema@DirectUI@@2HA
        837  344 00035E90 ?CacheParser@XBaby@DirectUI@@QEAAXPEAVDUIXmlParser@2@@Z
        838  345 000DCD1C ?CalendarControlType@Schema@DirectUI@@2HA
        839  346 00001B08 ?CanSetFocus@HWNDElement@DirectUI@@UEAA_NXZ
        840  347 00069D00 ?CanSetFocus@XBaby@DirectUI@@UEAA_NXZ
        841  348 0006A260 ?CanSetFocus@XProvider@DirectUI@@UEAAJPEA_N@Z
        842  349 0005D71C ?CaptureCallstackFrames@CallstackTracker@DirectUI@@QEAAHXZ
        843  34A 00031984 ?CapturedProp@Button@DirectUI@@SAPEBUPropertyInfo@2@XZ
        844  34B 000DCD7C ?CheckBoxControlType@Schema@DirectUI@@2HA
        845  34C 0001CFB0 ?CheckScroll@BaseScrollViewer@DirectUI@@AEAAXPEAVBaseScrollBar@2@HHH@Z
        846  34D 00007C40 ?ChildrenProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        847  34E 00018110 ?ClassExist@ClassInfoBase@DirectUI@@SA_NPEAPEAUIClassInfo@2@PEBQEBUPropertyInfo@2@IPEAU32@PEAUHINSTANCE__@@PEBG_N@Z
        848  34F 000DCD50 ?ClassNameProperty@Schema@DirectUI@@2HA
        849  350 00019704 ?ClassProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        850  351 00058FF8 ?ClearCacheDirty@Layout@DirectUI@@IEAAXXZ
        851  352 0003739C ?ClearParser@DUIFactory@DirectUI@@AEAAXXZ
        852  353 0002C4F8 ?Click@Button@DirectUI@@SA?AVUID@@XZ
        853  354 0006B974 ?ClickDefaultButton@DialogElement@DirectUI@@UEAA_NXZ
        854  355 0006A384 ?ClickDefaultButton@XProvider@DirectUI@@UEAAHXZ
        855  356 000DCD98 ?ClickablePointProperty@Schema@DirectUI@@2HA
        856  357 000665E0 ?Clipper@Expando@DirectUI@@KAGXZ
        857  358 0003AA10 ?Clone@DuiAccessible@DirectUI@@UEAAJPEAPEAUIEnumVARIANT@@@Z
        858  359 0005CCB0 ?Clone@HWNDHostAccessible@DirectUI@@UEAAJPEAPEAUIEnumVARIANT@@@Z
        859  35A 00026EC8 ?Close@ElementProviderManager@DirectUI@@SAXXZ
        860  35B 00026F50 ?Close@EventManager@DirectUI@@SAXXZ
        861  35C 00026FA0 ?Close@InvokeManager@DirectUI@@SAXXZ
        862  35D 0001FDD0 ?CloseThread@InvokeManager@DirectUI@@SAXXZ
        863  35E 00071634 ?Collapse@ExpandCollapseProvider@DirectUI@@UEAAJXZ
        864  35F 000DCCA8 ?ComboBoxControlType@Schema@DirectUI@@2HA
        865  360 00009D5C ?CompositedTextProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        866  361 00083684 ?CompositingQualityProp@Movie@DirectUI@@SAPEBUPropertyInfo@2@XZ
        867  362 0005F530 ?CompositionChange@HWNDElement@DirectUI@@SA?AVUID@@XZ
        868  363 0006A7C4 ?ConnectProp@Bind@DirectUI@@SAPEBUPropertyInfo@2@XZ
        869  364 00006948 ?ContentAlignProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        870  365 00004208 ?ContentProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
        871  366 00035A90 ?Context@Button@DirectUI@@SA?AVUID@@XZ
        872  367 0003AA10 ?ContextSensitiveHelp@DuiAccessible@DirectUI@@UEAAJH@Z
        873  368 0005CD00 ?ContextSensitiveHelp@HWNDHostAccessible@DirectUI@@UEAAJH@Z
        874  369 000DCCCC ?ControlTypeProperty@Schema@DirectUI@@2HA
        875  36A 00071608 ?Count@?$SafeArrayAccessor@H@DirectUI@@QEAAHXZ
        876  36B 0006F770 ?Create@?$PatternProvider@VExpandCollapseProvider@DirectUI@@UIExpandCollapseProvider@@$00@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        877  36C 00071E58 ?Create@?$PatternProvider@VGridItemProvider@DirectUI@@UIGridItemProvider@@$01@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        878  36D 00072780 ?Create@?$PatternProvider@VGridProvider@DirectUI@@UIGridProvider@@$02@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        879  36E 0006F690 ?Create@?$PatternProvider@VInvokeProvider@DirectUI@@UIInvokeProvider@@$0A@@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        880  36F 0006FA6C ?Create@?$PatternProvider@VRangeValueProvider@DirectUI@@UIRangeValueProvider@@$03@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        881  370 00073840 ?Create@?$PatternProvider@VScrollItemProvider@DirectUI@@UIScrollItemProvider@@$05@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        882  371 0006F98C ?Create@?$PatternProvider@VScrollProvider@DirectUI@@UIScrollProvider@@$04@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        883  372 0006F850 ?Create@?$PatternProvider@VSelectionItemProvider@DirectUI@@UISelectionItemProvider@@$06@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        884  373 000752B4 ?Create@?$PatternProvider@VSelectionProvider@DirectUI@@UISelectionProvider@@$07@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        885  374 00075B0C ?Create@?$PatternProvider@VTableItemProvider@DirectUI@@UITableItemProvider@@$09@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        886  375 000765F4 ?Create@?$PatternProvider@VTableProvider@DirectUI@@UITableProvider@@$08@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        887  376 00076C84 ?Create@?$PatternProvider@VToggleProvider@DirectUI@@UIToggleProvider@@$0L@@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        888  377 000782B0 ?Create@?$PatternProvider@VValueProvider@DirectUI@@UIValueProvider@@$0M@@DirectUI@@SAJPEAVElementProvider@2@PEAPEAUIUnknown@@@Z
        889  378 00042B00 ?Create@AccessibleButton@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        890  379 00066BE8 ?Create@AnimationStrip@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        891  37A 00068E10 ?Create@AutoButton@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        892  37B 00037904 ?Create@Bind@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        893  37C 0000B6BC ?Create@BorderLayout@DirectUI@@SAJHPEAHPEAPEAVValue@2@@Z
        894  37D 0000B700 ?Create@BorderLayout@DirectUI@@SAJPEAPEAVLayout@2@@Z
        895  37E 0006BA58 ?Create@Browser@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        896  37F 0000B81C ?Create@Button@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        897  380 000614B0 ?Create@Button@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        898  381 0006B320 ?Create@CCAVI@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        899  382 000653EC ?Create@CCAVI@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        900  383 0006A840 ?Create@CCBase@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        901  384 0006449C ?Create@CCBase@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        902  385 00034E60 ?Create@CCCheckBox@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        903  386 00064A40 ?Create@CCCheckBox@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        904  387 00041A24 ?Create@CCCommandLink@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        905  388 00064880 ?Create@CCCommandLink@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        906  389 00033240 ?Create@CCHScrollBar@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        907  38A 00065308 ?Create@CCHScrollBar@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        908  38B 0006B11C ?Create@CCListBox@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        909  38C 00064E4C ?Create@CCListBox@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        910  38D 0006AB88 ?Create@CCListView@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        911  38E 00064CBC ?Create@CCListView@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        912  38F 000417B4 ?Create@CCProgressBar@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        913  390 00064C2C ?Create@CCProgressBar@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        914  391 00034B10 ?Create@CCPushButton@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        915  392 00064668 ?Create@CCPushButton@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        916  393 00035B90 ?Create@CCRadioButton@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        917  394 00064B14 ?Create@CCRadioButton@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        918  395 00034BEC ?Create@CCSysLink@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        919  396 0006535C ?Create@CCSysLink@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        920  397 0003A160 ?Create@CCTrackBar@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        921  398 0006548C ?Create@CCTrackBar@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        922  399 0006ACD4 ?Create@CCTreeView@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        923  39A 00064D80 ?Create@CCTreeView@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        924  39B 000330A8 ?Create@CCVScrollBar@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        925  39C 00065244 ?Create@CCVScrollBar@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        926  39D 00061ACC ?Create@CheckBoxGlyph@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        927  39E 000615B4 ?Create@CheckBoxGlyph@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        928  39F 0004292C ?Create@Clipper@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        929  3A0 00039048 ?Create@Combobox@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        930  3A1 00061F10 ?Create@Combobox@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        931  3A2 0000F028 ?Create@DUIXmlParser@DirectUI@@SAJPEAPEAV12@P6APEAVValue@2@PEBGPEAX@Z2P6AX11H2@Z2@Z
        932  3A3 0006B7D0 ?Create@DialogElement@DirectUI@@SAJPEAUHWND__@@_NIPEAVElement@2@PEAKPEAPEAV42@@Z
        933  3A4 00030E70 ?Create@DuiAccessible@DirectUI@@SAJPEAVElement@2@PEAPEAV12@@Z
        934  3A5 00061DD0 ?Create@Edit@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        935  3A6 0005B7A0 ?Create@Edit@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        936  3A7 0000B17C ?Create@Element@DirectUI@@SAJIPEAV12@PEAKPEAPEAV12@@Z
        937  3A8 0003AE20 ?Create@ElementProvider@DirectUI@@SAJPEAVElement@2@PEAVInvokeHelper@2@PEAPEAV12@@Z
        938  3A9 0006E040 ?Create@ElementProxy@DirectUI@@SAPEAV12@PEAVElement@2@@Z
        939  3AA 0005AB4C ?Create@ElementWithHWND@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        940  3AB 00071678 ?Create@ExpandCollapseProxy@DirectUI@@SAPEAV12@PEAVElement@2@@Z
        941  3AC 00066528 ?Create@Expandable@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        942  3AD 0003A0C0 ?Create@Expando@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        943  3AE 00061C70 ?Create@ExpandoButtonGlyph@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        944  3AF 000616C0 ?Create@ExpandoButtonGlyph@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        945  3B0 000184C0 ?Create@FillLayout@DirectUI@@SAJHPEAHPEAPEAVValue@2@@Z
        946  3B1 00018450 ?Create@FillLayout@DirectUI@@SAJPEAPEAVLayout@2@@Z
        947  3B2 0001B124 ?Create@FlowLayout@DirectUI@@SAJHPEAHPEAPEAVValue@2@@Z
        948  3B3 0001B1A4 ?Create@FlowLayout@DirectUI@@SAJ_NIIIPEAPEAVLayout@2@@Z
        949  3B4 00071B24 ?Create@GridItemProxy@DirectUI@@SAPEAV12@PEAVElement@2@@Z
        950  3B5 00041190 ?Create@GridLayout@DirectUI@@SAJHHPEAPEAVLayout@2@@Z
        951  3B6 0004113C ?Create@GridLayout@DirectUI@@SAJHPEAHPEAPEAVValue@2@@Z
        952  3B7 00072368 ?Create@GridProxy@DirectUI@@SAPEAV12@PEAVElement@2@@Z
        953  3B8 00033640 ?Create@HWNDElement@DirectUI@@SAJPEAUHWND__@@_NIPEAVElement@2@PEAKPEAPEAV42@@Z
        954  3B9 00030F28 ?Create@HWNDElementAccessible@DirectUI@@SAJPEAVHWNDElement@2@PEAPEAVDuiAccessible@2@@Z
        955  3BA 0007294C ?Create@HWNDElementProvider@DirectUI@@SAJPEAVHWNDElement@2@PEAVInvokeHelper@2@PEAPEAV12@@Z
        956  3BB 00072B00 ?Create@HWNDElementProxy@DirectUI@@SAPEAV12@PEAVHWNDElement@2@@Z
        957  3BC 00061FA0 ?Create@HWNDHost@DirectUI@@SAJIIPEAVElement@2@PEAKPEAPEAV32@@Z
        958  3BD 0005B31C ?Create@HWNDHost@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        959  3BE 00031E94 ?Create@HWNDHostAccessible@DirectUI@@SAJPEAVElement@2@PEAUIAccessible@@PEAPEAVDuiAccessible@2@@Z
        960  3BF 000322B0 ?Create@HWNDHostClientAccessible@DirectUI@@SAJPEAVElement@2@PEAUIAccessible@@PEAPEAVDuiAccessible@2@@Z
        961  3C0 00072D44 ?Create@InvokeProxy@DirectUI@@SAPEAV12@PEAVElement@2@@Z
        962  3C1 0005F840 ?Create@Layout@DirectUI@@SAJPEAPEAV12@@Z
        963  3C2 0001D794 ?Create@Macro@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        964  3C3 0003CF50 ?Create@Movie@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        965  3C4 0008373C ?Create@Movie@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        966  3C5 00033778 ?Create@NativeHWNDHost@DirectUI@@SAJPEBG0PEAUHWND__@@PEAUHICON__@@HHHHHHPEAUHINSTANCE__@@IPEAPEAV12@@Z
        967  3C6 000336FC ?Create@NativeHWNDHost@DirectUI@@SAJPEBGPEAUHWND__@@PEAUHICON__@@HHHHHHIPEAPEAV12@@Z
        968  3C7 0006C258 ?Create@Navigator@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        969  3C8 0002DB6C ?Create@NineGridLayout@DirectUI@@SAJHPEAHPEAPEAVValue@2@@Z
        970  3C9 0001A2D0 ?Create@NineGridLayout@DirectUI@@SAJPEAPEAVLayout@2@@Z
        971  3CA 0003FD80 ?Create@PText@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        972  3CB 0006C184 ?Create@Page@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        973  3CC 0006BE64 ?Create@Pages@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        974  3CD 000628A0 ?Create@Progress@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        975  3CE 000691D8 ?Create@PushButton@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        976  3CF 00061B98 ?Create@RadioButtonGlyph@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        977  3D0 00061620 ?Create@RadioButtonGlyph@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        978  3D1 000730D4 ?Create@RangeValueProxy@DirectUI@@SAPEAV12@PEAVElement@2@@Z
        979  3D2 00062F1C ?Create@RefPointElement@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        980  3D3 00062D40 ?Create@RefPointElement@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        981  3D4 000287A0 ?Create@RepeatButton@DirectUI@@SAJIPEAVElement@2@PEAKPEAPEAV32@@Z
        982  3D5 00063380 ?Create@RepeatButton@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        983  3D6 0006A4D0 ?Create@Repeater@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
        984  3D7 00042224 ?Create@RowLayout@DirectUI@@SAJHIIPEAPEAVLayout@2@@Z
        985  3D8 000421C8 ?Create@RowLayout@DirectUI@@SAJHPEAHPEAPEAVValue@2@@Z
        986  3D9 00067A50 ?Create@RowLayout@DirectUI@@SAJIIPEAPEAVLayout@2@@Z
        987  3DA 00063954 ?Create@ScrollBar@DirectUI@@SAJPEAVElement@2@PEAKPEAPEAV32@@Z
